view,stype,variable,plain_english_description,segment_rows,missing_pct,zero_pct,positive_pct,nonmissing_n,mean,sd,min,p1,p25,p50,p75,p90,p95,p99,max
raw_source,ALL_STYPES,atlls,atlls,2843285,87.4,1.2,11.4,359627,1308.409,7772.597,-26242.497,0.0,2.369,37.986,320.24,1860.0,4890.007,26039.53,1045395.9
raw_source,ALL_STYPES,capx_to_assets,Capital expenditures / identifiable assets,2843285,56.2,5.1,38.5,1245647,0.07,2.213,-72.0,0.0,0.004,0.027,0.07,0.141,0.219,0.5,1836.177
raw_source,ALL_STYPES,capx_to_sales,Capital expenditures / sales,2843285,57.6,4.4,37.7,1206735,2.141,484.544,-12256.909,0.0,0.01,0.033,0.1,0.336,0.785,6.327,266882.0
raw_source,ALL_STYPES,capxs,Segment capital expenditures,2843285,52.3,6.8,40.7,1355416,130.218,1127.532,-11115.0,0.0,0.161,3.2,31.013,186.348,491.651,2401.0,653000.0
raw_source,ALL_STYPES,caxts,caxts,2843285,79.6,0.2,20.0,579037,-80139.612,35720108.828,-15693000001.0,0.0,14.06,73.094,411.593,1727.525,4058.935,18500.356,4372700.0
raw_source,ALL_STYPES,cogss,cogss,2843285,75.2,2.3,21.9,704338,-144825.007,51788586.82,-23156000001.0,-6.414,2.765,35.121,247.59,1137.0,2855.053,14711.0,359806.162
raw_source,ALL_STYPES,dps,dps,2843285,50.9,4.3,44.6,1395765,90.18,861.367,-6789.238,0.0,0.346,3.535,28.0,141.427,336.0,1545.0,490475.0
raw_source,ALL_STYPES,emps,Segment employees,2843285,70.5,2.2,27.3,838548,5148.303,25298.76,0.0,0.0,52.0,350.0,2239.0,9646.0,22000.0,80613.0,1700000.0
raw_source,ALL_STYPES,esubs,esubs,2843285,47.9,46.8,3.6,1480373,4.183,111.619,-6735.0,-5.5,0.0,0.0,0.0,0.0,1.211,76.0,32752.356
raw_source,ALL_STYPES,ias,Segment identifiable assets,2843285,41.4,1.6,55.9,1667131,5163.391,54731.48,-1794519.602,-108.81,17.761,159.981,1056.203,5070.0,12687.594,86299.12,6630556.091
raw_source,ALL_STYPES,ibs,ibs,2843285,78.0,0.3,12.5,626682,108.688,1127.02,-63798.0,-613.816,-5.264,1.486,34.699,207.864,532.184,2615.168,124078.0
raw_source,ALL_STYPES,iints,iints,2843285,84.9,4.5,10.4,428654,104.955,14640.025,-21813.444,-0.344,0.0,0.167,6.021,52.956,145.024,970.534,6737118.389
raw_source,ALL_STYPES,intseg,intseg,2843285,26.9,66.4,6.2,2077623,62.547,6476.938,-5213990.0,0.0,0.0,0.0,0.0,0.0,14.0,827.008,199563.731
raw_source,ALL_STYPES,ivaeqs,ivaeqs,2843285,44.2,50.7,5.1,1585379,36.668,543.01,-25277.549,0.0,0.0,0.0,0.0,0.0,17.997,662.0,56914.0
raw_source,ALL_STYPES,log_sales,"Log(1 + sales), for nonnegative sales",2843285,4.4,11.0,84.5,2717071,4.181,2.754,0.0,0.0,1.972,4.305,6.264,7.773,8.604,9.998,15.311
raw_source,ALL_STYPES,nis,nis,2843285,78.9,0.2,12.0,600157,111.238,1107.729,-98696.0,-654.588,-5.852,1.656,36.985,219.721,560.582,2698.889,112010.0
raw_source,ALL_STYPES,nopxs,nopxs,2843285,84.6,3.5,8.0,436858,4.938,165.272,-31057.171,-104.688,-0.003,0.006,1.334,13.0,39.055,212.217,7840.116
raw_source,ALL_STYPES,nxints,nxints,2843285,84.0,1.3,6.5,455340,-708198.187,136143910.907,-37861000001.0,-664.602,-5.722,-0.013,2.811,63.951,260.181,2869.53,6737046.644
raw_source,ALL_STYPES,obs,obs,2843285,89.7,6.0,4.3,293094,1288.479,208302.174,-5333.0,0.0,0.0,0.0,16.4,242.334,970.003,9026.77,70385000.0
raw_source,ALL_STYPES,ocaxs,ocaxs,2843285,85.4,14.6,0.0,414444,0.085,14.743,-985.669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5685.51
raw_source,ALL_STYPES,oelim,oelim,2843285,36.5,63.5,0.0,1806672,0.019,39.31,-12738.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5847.0
raw_source,ALL_STYPES,oiadps,oiadps,2843285,70.9,0.4,18.3,827881,237.899,2102.945,-473708.0,-595.419,-3.058,8.556,101.19,467.65,1048.406,4183.638,384000.0
raw_source,ALL_STYPES,oibdps,oibdps,2843285,71.4,0.4,19.4,812238,329.161,2262.42,-66359.0,-378.022,-1.195,15.516,142.652,635.416,1420.0,5368.0,384000.0
raw_source,ALL_STYPES,op_margin,Operating profit / sales,2843285,53.1,0.3,34.4,1334114,-5.713,508.115,-88074.0,-54.806,-0.007,0.081,0.195,0.408,0.564,1.0,475147.0
raw_source,ALL_STYPES,ops,Segment operating profit,2843285,47.7,1.5,34.4,1485746,174.152,1845.354,-473708.0,-418.727,-0.925,5.058,63.959,321.976,760.0,3177.644,772000.0
raw_source,ALL_STYPES,ppents,Segment PP&E,2843285,77.3,1.7,21.0,646673,950.571,5007.882,-8200.568,0.0,1.542,18.484,176.557,1375.0,3883.0,19904.0,321900.0
raw_source,ALL_STYPES,ptis,ptis,2843285,75.0,0.3,14.6,711359,160.044,1368.872,-65275.0,-816.257,-5.369,2.676,55.637,329.052,833.984,3804.0,132729.0
raw_source,ALL_STYPES,rd_to_sales,R&D / sales,2843285,86.3,6.3,7.4,390267,6.031,179.895,-1037.324,0.0,0.0,0.007,0.146,0.867,3.859,58.598,42070.667
raw_source,ALL_STYPES,rds,Segment R&D,2843285,84.8,7.0,8.2,431862,44.426,393.901,-1498.308,0.0,0.0,0.174,8.1,47.764,124.533,784.0,41287.0
raw_source,ALL_STYPES,revts,revts,2843285,24.8,7.5,66.7,2138022,-11764.269,11348022.07,-9580000001.0,-3.113,8.094,97.114,676.8,2952.3,6675.0,26771.16,4460500.0
raw_source,ALL_STYPES,sales,Segment sales,2843285,2.9,11.0,84.5,2760628,1350.686,10495.733,-57121.0,-8.279,5.136,68.52,507.512,2325.4,5359.998,21742.422,4460500.0
raw_source,ALL_STYPES,salexg,salexg,2843285,98.0,0.2,1.9,57842,249.06,1556.676,-1.284,0.0,1.296,8.2,53.0,290.981,821.813,5119.709,69655.106
raw_source,ALL_STYPES,segment_sales_share,Segment positive sales / firm-year-stype positive sales,2843285,2.4,13.1,84.5,2775708,0.233,0.294,0.0,0.0,0.018,0.11,0.333,0.82,1.0,1.0,1.0
raw_source,ALL_STYPES,spis,spis,2843285,79.2,9.0,2.7,591967,-24.672,393.827,-48019.0,-590.711,-3.334,0.0,0.0,0.336,4.3,91.0,56975.0
raw_source,ALL_STYPES,txts,txts,2843285,77.3,5.9,13.1,645693,44.137,463.11,-45415.0,-186.043,0.0,0.233,10.396,74.0,198.925,998.0,36863.0
raw_source,ALL_STYPES,txws,txws,2843285,36.4,63.4,0.2,1808208,9.115,410.033,-2075.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53211.0
raw_source,ALL_STYPES,xidos,xidos,2843285,82.9,15.3,0.9,487484,0.562,162.262,-54122.0,-15.708,0.0,0.0,0.0,0.0,0.0,22.785,13977.0
raw_source,ALL_STYPES,xints,xints,2843285,77.7,3.6,18.4,634665,79.674,1227.041,-21813.376,-2.0,0.052,2.139,23.675,108.531,233.848,998.593,137861.0
raw_source,ALL_STYPES,xsgas,xsgas,2843285,82.3,0.4,17.2,504048,242.918,1299.173,-28720.211,0.0,5.786,23.3,97.377,368.123,864.589,4196.0,110081.0
raw_source,BUSSEG,atlls,atlls,1276288,98.9,0.1,1.0,13767,1628.634,10017.376,-6862.155,-512.42,1.33,30.199,395.35,2413.696,5872.809,24767.895,201390.0
raw_source,BUSSEG,capx_to_assets,Capital expenditures / identifiable assets,1276288,28.4,8.6,62.7,913564,0.069,2.192,-72.0,0.0,0.005,0.028,0.07,0.143,0.222,0.506,1836.177
raw_source,BUSSEG,capx_to_sales,Capital expenditures / sales,1276288,32.7,6.8,60.0,858717,2.675,573.452,-8438.167,0.0,0.01,0.033,0.095,0.335,0.811,6.768,266882.0
raw_source,BUSSEG,capxs,Segment capital expenditures,1276288,24.0,10.4,65.3,969372,108.053,723.028,-11115.0,0.0,0.137,2.5,23.475,142.424,379.591,2001.406,65096.4
raw_source,BUSSEG,caxts,caxts,1276288,69.8,0.3,29.7,385472,975.61,5733.944,-77346.0,0.0,11.033,57.168,325.214,1425.3,3523.744,17547.8,317826.0
raw_source,BUSSEG,cogss,cogss,1276288,61.9,4.4,32.9,486184,-114529.813,48993764.187,-23156000001.0,-6.002,1.957,28.133,203.624,975.338,2523.547,13460.0,308643.0
raw_source,BUSSEG,dps,dps,1276288,19.6,6.7,73.4,1026689,76.223,678.087,-6789.238,0.0,0.272,2.715,21.821,113.238,276.566,1326.0,490475.0
raw_source,BUSSEG,emps,Segment employees,1276288,60.8,2.5,36.7,500503,4469.532,21920.438,0.0,0.0,42.0,273.0,1721.0,7770.0,18532.0,75024.9,905766.0
raw_source,BUSSEG,esubs,esubs,1276288,35.3,56.8,5.3,825910,4.437,112.001,-6735.0,-7.651,0.0,0.0,0.0,0.0,2.369,90.812,32752.356
raw_source,BUSSEG,ias,Segment identifiable assets,1276288,14.2,1.7,82.5,1094786,3576.794,39225.764,-908320.507,-105.621,14.252,121.224,834.441,4081.886,9946.806,54475.93,3844092.0
raw_source,BUSSEG,ibs,ibs,1276288,67.5,0.6,16.9,414738,89.089,1052.295,-63798.0,-591.673,-7.324,0.259,24.439,167.423,442.036,2364.136,112010.0
raw_source,BUSSEG,iints,iints,1276288,78.1,6.6,15.1,279951,33.815,561.064,-21813.444,-0.877,0.0,0.124,3.571,36.475,94.977,572.104,112167.637
raw_source,BUSSEG,intseg,intseg,1276288,25.9,64.6,8.8,945674,80.803,9518.699,-5213990.0,0.0,0.0,0.0,0.0,1.0,44.0,1283.534,199563.731
raw_source,BUSSEG,ivaeqs,ivaeqs,1276288,31.6,61.1,7.2,872799,38.843,545.772,-25277.549,0.0,0.0,0.0,0.0,0.194,25.845,733.95,43911.817
raw_source,BUSSEG,log_sales,"Log(1 + sales), for nonnegative sales",1276288,3.0,11.2,85.8,1237820,4.109,2.734,0.0,0.0,1.899,4.225,6.177,7.681,8.516,9.929,13.709
raw_source,BUSSEG,nis,nis,1276288,69.0,0.4,16.0,395532,95.825,1065.663,-29417.0,-636.0,-8.252,0.24,25.828,178.763,474.486,2574.253,112010.0
raw_source,BUSSEG,nopxs,nopxs,1276288,76.7,5.3,11.6,296903,3.413,162.438,-31057.171,-100.503,-0.019,0.0,0.93,8.942,28.422,178.04,7362.386
raw_source,BUSSEG,nxints,nxints,1276288,76.6,2.2,9.4,298887,79.157,1199.792,-36883.0,-570.0,-3.651,-0.005,1.261,45.0,186.497,2065.551,110980.934
raw_source,BUSSEG,obs,obs,1276288,83.5,8.3,8.2,210854,1038.133,115423.027,-5333.0,0.0,0.0,0.0,27.0,300.0,1178.0,10700.0,35477000.0
raw_source,BUSSEG,ocaxs,ocaxs,1276288,78.1,21.9,0.0,280072,0.051,7.597,-42.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1631.8
raw_source,BUSSEG,oelim,oelim,1276288,31.4,68.5,0.1,875758,0.259,28.306,-768.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5847.0
raw_source,BUSSEG,oiadps,oiadps,1276288,57.1,0.7,24.8,547482,200.292,1937.692,-473708.0,-539.788,-4.949,3.543,75.0,380.857,896.997,3814.0,384000.0
