view,stype,variable,plain_english_description,firm_year_units,missing_pct,nonmissing_n,mean,sd,min,p1,p25,p50,p75,p90,p95,p99,max
latest_source,ALL_STYPES,nonblank_named_segment_rows,Rows with a nonblank segment name,364006,0.0,364006,3.314,3.312,0.0,1.0,1.0,2.0,4.0,7.0,10.0,16.0,67.0
latest_source,ALL_STYPES,operating_candidate_segment_rows,Rows not flagged by corporate/elimination/unallocated name patterns,364006,0.0,364006,3.819,2.687,0.0,1.0,2.0,3.0,5.0,7.0,9.0,14.0,64.0
latest_source,ALL_STYPES,positive_sales_segment_rows,Rows with sales greater than zero,364006,0.0,364006,3.418,2.788,0.0,0.0,2.0,2.0,4.0,7.0,9.0,13.0,57.0
latest_source,ALL_STYPES,reported_segment_rows,All segment rows in a firm-year-stype,364006,0.0,364006,4.158,3.06,1.0,1.0,3.0,3.0,5.0,8.0,10.0,16.0,67.0
latest_source,ALL_STYPES,sales_hhi,HHI of positive segment-sales shares within firm-year-stype,364006,5.7,343330,0.47,0.193,0.049,0.138,0.363,0.5,0.5,0.61,1.0,1.0,1.0
latest_source,ALL_STYPES,top_segment_sales_share,Largest positive segment-sales share within firm-year-stype,364006,5.7,343330,0.524,0.167,0.086,0.217,0.5,0.5,0.5,0.748,1.0,1.0,1.0
latest_source,ALL_STYPES,total_positive_sales,Sum of positive segment sales within firm-year-stype,364006,0.0,364006,4430.192,30931.96,0.0,0.0,19.622,166.812,1238.602,6435.569,16437.78,82394.702,8552271.0
latest_source,BUSSEG,nonblank_named_segment_rows,Rows with a nonblank segment name,352429,0.0,352429,1.912,1.592,0.0,1.0,1.0,1.0,3.0,4.0,5.0,8.0,21.0
latest_source,BUSSEG,operating_candidate_segment_rows,Rows not flagged by corporate/elimination/unallocated name patterns,352429,0.0,352429,1.683,1.272,0.0,0.0,1.0,1.0,2.0,3.0,4.0,6.0,20.0
latest_source,BUSSEG,positive_sales_segment_rows,Rows with sales greater than zero,352429,0.0,352429,1.679,1.399,0.0,0.0,1.0,1.0,2.0,4.0,5.0,7.0,21.0
latest_source,BUSSEG,reported_segment_rows,All segment rows in a firm-year-stype,352429,0.0,352429,1.913,1.592,1.0,1.0,1.0,1.0,3.0,4.0,5.0,8.0,21.0
latest_source,BUSSEG,sales_hhi,HHI of positive segment-sales shares within firm-year-stype,352429,5.9,331526,0.843,0.244,0.064,0.22,0.662,1.0,1.0,1.0,1.0,1.0,1.0
latest_source,BUSSEG,top_segment_sales_share,Largest positive segment-sales share within firm-year-stype,352429,5.9,331526,0.878,0.201,0.115,0.301,0.79,1.0,1.0,1.0,1.0,1.0,1.0
latest_source,BUSSEG,total_positive_sales,Sum of positive segment sales within firm-year-stype,352429,0.0,352429,1971.884,11555.005,0.0,0.0,9.871,80.482,572.666,2889.0,7219.455,36756.04,945944.661
latest_source,GEOSEG,nonblank_named_segment_rows,Rows with a nonblank segment name,307470,0.0,307470,1.465,2.365,0.0,0.0,0.0,1.0,2.0,4.0,6.0,10.0,62.0
latest_source,GEOSEG,operating_candidate_segment_rows,Rows not flagged by corporate/elimination/unallocated name patterns,307470,0.0,307470,2.375,1.86,0.0,1.0,2.0,2.0,2.0,4.0,5.0,10.0,61.0
latest_source,GEOSEG,positive_sales_segment_rows,Rows with sales greater than zero,307470,0.0,307470,1.905,1.883,0.0,0.0,1.0,1.0,2.0,4.0,5.0,9.0,53.0
latest_source,GEOSEG,reported_segment_rows,All segment rows in a firm-year-stype,307470,0.0,307470,2.463,1.976,1.0,1.0,2.0,2.0,2.0,4.0,6.0,10.0,62.0
latest_source,GEOSEG,sales_hhi,HHI of positive segment-sales shares within firm-year-stype,307470,2.7,299076,0.843,0.243,0.055,0.203,0.689,1.0,1.0,1.0,1.0,1.0,1.0
latest_source,GEOSEG,top_segment_sales_share,Largest positive segment-sales share within firm-year-stype,307470,2.7,299076,0.883,0.195,0.107,0.296,0.813,1.0,1.0,1.0,1.0,1.0,1.0
latest_source,GEOSEG,total_positive_sales,Sum of positive segment sales within firm-year-stype,307470,0.0,307470,2364.606,13743.526,0.0,0.0,15.934,108.954,730.821,3567.311,8961.55,43950.126,2202326.0
latest_source,OPSEG,nonblank_named_segment_rows,Rows with a nonblank segment name,13650,0.0,13650,5.839,2.701,1.0,2.0,4.0,5.0,7.0,9.0,11.0,16.0,29.0
latest_source,OPSEG,operating_candidate_segment_rows,Rows not flagged by corporate/elimination/unallocated name patterns,13650,0.0,13650,4.741,2.546,1.0,2.0,3.0,4.0,6.0,8.0,10.0,14.0,28.0
latest_source,OPSEG,positive_sales_segment_rows,Rows with sales greater than zero,13650,0.0,13650,4.729,2.477,0.0,0.0,3.0,4.0,6.0,8.0,9.0,13.0,22.0
latest_source,OPSEG,reported_segment_rows,All segment rows in a firm-year-stype,13650,0.0,13650,5.839,2.701,1.0,2.0,4.0,5.0,7.0,9.0,11.0,16.0,29.0
