code_field,stype,rows,nonmissing_pct,unique_values
sic,BUSSEG,674184,100.0,449
sic,GEOSEG,757202,100.0,449
sic,OPSEG,79700,100.0,332
sic,STSEG,2331,100.0,41
naics,BUSSEG,674184,97.4,1517
naics,GEOSEG,757202,97.6,1482
naics,OPSEG,79700,100.0,542
naics,STSEG,2331,100.0,45
gsubind,BUSSEG,674184,97.1,215
gsubind,GEOSEG,757202,97.5,215
gsubind,OPSEG,79700,99.9,184
gsubind,STSEG,2331,100.0,39
gind,BUSSEG,674184,97.1,84
gind,GEOSEG,757202,97.5,84
gind,OPSEG,79700,99.9,79
gind,STSEG,2331,100.0,28
sics1,BUSSEG,674184,90.7,1345
sics1,GEOSEG,757202,35.7,901
sics1,OPSEG,79700,85.0,699
sics1,STSEG,2331,88.5,48
sics2,BUSSEG,674184,52.9,1332
sics2,GEOSEG,757202,22.2,907
sics2,OPSEG,79700,49.3,636
sics2,STSEG,2331,21.6,29
naicss1,BUSSEG,674184,68.7,1714
naicss1,GEOSEG,757202,35.7,1283
naicss1,OPSEG,79700,85.0,959
naicss1,STSEG,2331,88.5,54
naicss2,BUSSEG,674184,38.4,1671
naicss2,GEOSEG,757202,22.6,1293
naicss2,OPSEG,79700,50.6,866
naicss2,STSEG,2331,22.4,32
