variable,stype,rows,nonmissing_pct,positive_pct,firms_nonmissing,firm_years_nonmissing,min_year,max_year
sales,BUSSEG,674184,99.0,87.8,29759,349857,1976.0,2026.0
sales,GEOSEG,757202,94.2,77.3,26203,304837,1976.0,2026.0
sales,OPSEG,79700,96.9,81.0,1543,13523,1996.0,2026.0
sales,STSEG,2331,98.2,87.7,73,428,1997.0,2025.0
ops,BUSSEG,674184,83.0,54.5,28950,322212,1976.0,2026.0
ops,GEOSEG,757202,25.4,17.9,13983,113005,1976.0,2026.0
ops,OPSEG,79700,65.2,45.2,1195,9541,1996.0,2026.0
ops,STSEG,2331,56.1,43.1,53,248,1998.0,2025.0
capxs,BUSSEG,674184,77.7,67.8,28736,311044,1976.0,2026.0
capxs,GEOSEG,757202,15.1,11.8,11351,84941,1976.0,2026.0
capxs,OPSEG,79700,63.3,53.4,1055,8895,1996.0,2026.0
capxs,STSEG,2331,61.9,34.8,49,270,1998.0,2025.0
ias,BUSSEG,674184,86.0,83.3,29345,331013,1976.0,2026.0
ias,GEOSEG,757202,29.6,27.3,15271,127860,1976.0,2026.0
ias,OPSEG,79700,69.9,65.0,1269,10231,1996.0,2026.0
ias,STSEG,2331,67.4,65.2,61,316,1997.0,2025.0
emps,BUSSEG,674184,40.2,37.9,26179,226553,1976.0,2026.0
emps,GEOSEG,757202,15.4,14.0,10877,79681,1991.0,2026.0
emps,OPSEG,79700,15.4,13.5,506,2797,1998.0,2026.0
emps,STSEG,2331,5.0,4.3,13,33,1998.0,2025.0
rds,BUSSEG,674184,25.2,15.6,16223,136980,1976.0,2026.0
rds,GEOSEG,757202,4.5,1.5,4675,26298,1991.0,2026.0
rds,OPSEG,79700,9.5,0.7,284,1545,1999.0,2026.0
rds,STSEG,2331,36.4,0.0,32,151,1998.0,2025.0
ppents,BUSSEG,674184,19.1,17.4,15758,120372,1995.0,2026.0
ppents,GEOSEG,757202,15.2,14.1,9811,75358,1995.0,2026.0
ppents,OPSEG,79700,7.2,6.5,190,1137,1997.0,2025.0
ppents,STSEG,2331,0.1,0.1,1,3,2015.0,2017.0
oibdps,BUSSEG,674184,32.2,19.9,17127,142216,1990.0,2026.0
oibdps,GEOSEG,757202,9.7,7.4,8480,63986,1991.0,2026.0
oibdps,OPSEG,79700,43.4,32.6,845,6473,1997.0,2026.0
oibdps,STSEG,2331,21.5,16.1,21,105,1999.0,2025.0
dps,BUSSEG,674184,81.5,75.1,28740,316041,1976.0,2026.0
dps,GEOSEG,757202,13.7,11.6,10868,79816,1976.0,2026.0
dps,OPSEG,79700,69.5,61.8,1185,9942,1996.0,2026.0
dps,STSEG,2331,41.0,37.4,44,192,1998.0,2025.0
oiadps,BUSSEG,674184,32.5,18.5,17114,143100,1990.0,2026.0
oiadps,GEOSEG,757202,10.1,7.3,8637,65467,1991.0,2026.0
oiadps,OPSEG,79700,42.8,30.1,825,6302,1998.0,2026.0
oiadps,STSEG,2331,15.5,11.4,18,83,1999.0,2025.0
esubs,BUSSEG,674184,64.7,5.0,27321,271286,1976.0,2026.0
esubs,GEOSEG,757202,30.0,1.0,12552,91857,1991.0,2026.0
esubs,OPSEG,79700,47.2,7.3,1136,7108,1997.0,2026.0
esubs,STSEG,2331,45.0,4.2,56,210,1998.0,2025.0
ivaeqs,BUSSEG,674184,67.5,7.0,28413,292137,1976.0,2026.0
ivaeqs,GEOSEG,757202,33.3,1.7,13691,109480,1991.0,2026.0
ivaeqs,OPSEG,79700,43.2,7.8,1099,6679,1997.0,2026.0
ivaeqs,STSEG,2331,43.8,3.8,52,200,1998.0,2025.0
obs,BUSSEG,674184,18.6,10.2,9919,80066,1976.0,2026.0
obs,GEOSEG,757202,3.1,0.7,3008,15183,1991.0,2026.0
obs,OPSEG,79700,11.2,2.2,329,1862,1999.0,2026.0
obs,STSEG,2331,9.6,3.1,19,42,1999.0,2024.0
salexg,BUSSEG,674184,0.0,0.0,110,172,1998.0,2025.0
salexg,GEOSEG,757202,5.8,5.1,5794,43258,1976.0,2026.0
salexg,OPSEG,79700,0.0,0.0,12,28,1997.0,2009.0
salexg,STSEG,2331,0.0,0.0,0,0,,
intseg,BUSSEG,674184,57.5,6.7,19340,186374,1990.0,2026.0
intseg,GEOSEG,757202,50.8,1.5,15025,143475,1991.0,2026.0
intseg,OPSEG,79700,91.7,18.1,1540,13389,1996.0,2026.0
intseg,STSEG,2331,98.2,4.1,73,428,1997.0,2025.0
ptis,BUSSEG,674184,27.6,14.4,16897,136415,1990.0,2026.0
ptis,GEOSEG,757202,10.0,6.6,8815,67455,1991.0,2026.0
ptis,OPSEG,79700,23.6,15.7,448,3221,1996.0,2026.0
ptis,STSEG,2331,16.9,11.2,19,79,1997.0,2025.0
ibs,BUSSEG,674184,24.3,12.3,16451,130760,1990.0,2026.0
ibs,GEOSEG,757202,9.4,6.1,8640,66279,1991.0,2026.0
ibs,OPSEG,79700,13.4,8.5,313,1937,1997.0,2025.0
ibs,STSEG,2331,12.4,7.2,15,60,1997.0,2018.0
nis,BUSSEG,674184,23.1,11.7,16392,128824,1990.0,2026.0
nis,GEOSEG,757202,9.2,6.0,8572,65719,1991.0,2026.0
nis,OPSEG,79700,11.5,7.4,281,1650,1998.0,2025.0
nis,STSEG,2331,9.8,6.3,12,46,1997.0,2024.0
iints,BUSSEG,674184,16.5,11.2,13727,91102,1995.0,2026.0
iints,GEOSEG,757202,6.6,4.6,6761,46694,1995.0,2026.0
iints,OPSEG,79700,9.5,5.9,252,1330,1997.0,2025.0
iints,STSEG,2331,9.0,5.3,11,42,1999.0,2014.0
atlls,BUSSEG,674184,0.8,0.7,371,1690,1998.0,2025.0
atlls,GEOSEG,757202,16.6,14.9,4130,34136,1997.0,2026.0
atlls,OPSEG,79700,6.4,5.9,163,961,1997.0,2026.0
atlls,STSEG,2331,0.0,0.0,0,0,,
caxts,BUSSEG,674184,22.8,22.4,16434,128283,1995.0,2026.0
caxts,GEOSEG,757202,8.7,8.6,8312,63272,1995.0,2026.0
caxts,OPSEG,79700,12.5,11.6,401,2120,1998.0,2026.0
caxts,STSEG,2331,7.5,7.0,10,37,1999.0,2024.0
cogss,BUSSEG,674184,29.3,25.2,17093,138752,1995.0,2026.0
cogss,GEOSEG,757202,8.6,8.2,8255,60074,1995.0,2026.0
cogss,OPSEG,79700,26.4,22.6,685,4238,1997.0,2026.0
cogss,STSEG,2331,32.0,29.9,26,130,1999.0,2025.0
nopxs,BUSSEG,674184,17.3,8.6,14900,111033,1995.0,2026.0
nopxs,GEOSEG,757202,6.9,3.8,7169,51521,1995.0,2026.0
nopxs,OPSEG,79700,2.2,1.0,102,366,1999.0,2026.0
nopxs,STSEG,2331,2.3,0.9,4,11,2000.0,2018.0
nxints,BUSSEG,674184,17.6,6.9,13579,89569,1995.0,2026.0
nxints,GEOSEG,757202,6.5,2.7,6625,45621,1995.0,2026.0
nxints,OPSEG,79700,14.2,6.1,306,1922,1997.0,2025.0
nxints,STSEG,2331,10.5,3.9,13,52,1998.0,2014.0
ocaxs,BUSSEG,674184,16.3,0.0,14611,109355,1995.0,2026.0
ocaxs,GEOSEG,757202,6.8,0.0,7107,51461,1995.0,2026.0
ocaxs,OPSEG,79700,0.1,0.0,11,20,1999.0,2021.0
ocaxs,STSEG,2331,0.6,0.3,1,3,2005.0,2007.0
oelim,BUSSEG,674184,53.3,0.0,18994,176591,1995.0,2026.0
oelim,GEOSEG,757202,40.9,0.0,14152,123349,1995.0,2026.0
oelim,OPSEG,79700,85.6,0.2,1435,12016,1996.0,2026.0
oelim,STSEG,2331,76.6,0.0,61,347,1997.0,2025.0
revts,BUSSEG,674184,59.8,49.6,19403,188179,1995.0,2026.0
revts,GEOSEG,757202,51.5,48.5,15095,145095,1995.0,2026.0
revts,OPSEG,79700,96.9,81.4,1543,13523,1996.0,2026.0
revts,STSEG,2331,98.2,87.6,73,428,1997.0,2025.0
spis,BUSSEG,674184,22.1,2.8,17154,131361,1995.0,2026.0
spis,GEOSEG,757202,9.3,1.3,9591,67340,1995.0,2026.0
spis,OPSEG,79700,12.9,1.5,750,3345,1998.0,2026.0
spis,STSEG,2331,2.5,0.3,11,20,2001.0,2024.0
txts,BUSSEG,674184,24.9,13.2,16466,131432,1995.0,2026.0
txts,GEOSEG,757202,9.4,5.9,8526,65810,1995.0,2026.0
txts,OPSEG,79700,18.1,11.3,341,2509,1997.0,2025.0
txts,STSEG,2331,9.7,3.8,12,49,1997.0,2024.0
txws,BUSSEG,674184,53.4,0.2,19074,178268,1995.0,2026.0
txws,GEOSEG,757202,41.0,0.1,14272,125654,1995.0,2026.0
txws,OPSEG,79700,84.4,0.4,1433,11958,1996.0,2026.0
txws,STSEG,2331,77.3,0.0,61,349,1997.0,2025.0
xidos,BUSSEG,674184,18.3,0.8,15881,120322,1995.0,2026.0
xidos,GEOSEG,757202,8.5,0.6,8311,64043,1995.0,2026.0
xidos,OPSEG,79700,1.0,0.1,84,176,1998.0,2021.0
xidos,STSEG,2331,3.9,0.3,7,20,1997.0,2012.0
xints,BUSSEG,674184,24.9,19.6,16389,125487,1995.0,2026.0
xints,GEOSEG,757202,8.9,8.1,8275,63001,1995.0,2026.0
xints,OPSEG,79700,19.2,13.4,424,2800,1996.0,2026.0
xints,STSEG,2331,19.0,12.7,24,95,1998.0,2024.0
xsgas,BUSSEG,674184,20.4,19.6,15039,108752,1995.0,2026.0
xsgas,GEOSEG,757202,6.9,6.9,7055,49665,1995.0,2026.0
xsgas,OPSEG,79700,14.8,13.3,428,2456,1997.0,2026.0
xsgas,STSEG,2331,7.8,5.1,10,38,2000.0,2024.0
