model,shock,family,design,event_year,span,window_start,window_end,sample,outcome,opp,treatment,treatment_col,treatment_scope,note,status,beta,se,t,p,nobs,firms,treated_firms,control_firms,rows
rsz,WTI_1983,oil,national,1983,3,1980,1986,all_multiseg,rel_inv,l_margin,oilgas_segment,seg_oilgas,segment,NYMEX WTI crude oil futures launch; treated exposure is oil/gas SIC proxy.,ok,-0.053368883675530374,0.027111442735882438,-1.968500319051475,0.04902103196848362,37140.0,3052.0,458.0,2990.0,37140.0
rsz,WTI_1983,oil,national,1983,3,1980,1986,all_multiseg,rel_inv,sgrow,oilgas_segment,seg_oilgas,segment,NYMEX WTI crude oil futures launch; treated exposure is oil/gas SIC proxy.,ok,0.0017303375751052297,0.019589487577288185,0.08832990491856266,0.9296151466883384,37140.0,3052.0,458.0,2990.0,37140.0
rsz,WTI_1983,oil,national,1983,3,1980,1986,pre_multiseg,rel_inv,l_margin,oilgas_segment,seg_oilgas,segment,NYMEX WTI crude oil futures launch; treated exposure is oil/gas SIC proxy.,ok,-0.05862316088928271,0.027428410309948068,-2.1373152955940924,0.03258182741884097,35466.0,2641.0,401.0,2589.0,35466.0
rsz,WTI_1983,oil,national,1983,3,1980,1986,pre_multiseg,rel_inv,sgrow,oilgas_segment,seg_oilgas,segment,NYMEX WTI crude oil futures launch; treated exposure is oil/gas SIC proxy.,ok,0.0017097056111903281,0.020240616441496485,0.08446904846658522,0.9326841728765598,35466.0,2641.0,401.0,2589.0,35466.0
rsz,WTI_1983,oil,national,1983,5,1978,1988,all_multiseg,rel_inv,l_margin,oilgas_segment,seg_oilgas,segment,NYMEX WTI crude oil futures launch; treated exposure is oil/gas SIC proxy.,ok,-0.03080197717919375,0.02252806088564049,-1.3672715701344318,0.1715475460167144,55874.0,3633.0,520.0,3569.0,55874.0
rsz,WTI_1983,oil,national,1983,5,1978,1988,all_multiseg,rel_inv,sgrow,oilgas_segment,seg_oilgas,segment,NYMEX WTI crude oil futures launch; treated exposure is oil/gas SIC proxy.,ok,-0.0007627495419841754,0.016581163267726788,-0.046000966860315184,0.9633096988705501,55874.0,3633.0,520.0,3569.0,55874.0
rsz,WTI_1983,oil,national,1983,5,1978,1988,pre_multiseg,rel_inv,l_margin,oilgas_segment,seg_oilgas,segment,NYMEX WTI crude oil futures launch; treated exposure is oil/gas SIC proxy.,ok,-0.037172171235807766,0.023452938590703867,-1.5849685996509557,0.11298138356183518,52172.0,2945.0,439.0,2893.0,52172.0
rsz,WTI_1983,oil,national,1983,5,1978,1988,pre_multiseg,rel_inv,sgrow,oilgas_segment,seg_oilgas,segment,NYMEX WTI crude oil futures launch; treated exposure is oil/gas SIC proxy.,ok,0.003999636155154861,0.017639980857830306,0.2267369895347387,0.8206294226496775,52172.0,2945.0,439.0,2893.0,52172.0
rsz,WTI_1983,oil,national,1983,7,1976,1990,all_multiseg,rel_inv,l_margin,oilgas_segment,seg_oilgas,segment,NYMEX WTI crude oil futures launch; treated exposure is oil/gas SIC proxy.,ok,-0.027596185478274967,0.021563592372107178,-1.2797582611499851,0.20063618985549958,64980.0,3915.0,560.0,3845.0,64980.0
rsz,WTI_1983,oil,national,1983,7,1976,1990,all_multiseg,rel_inv,sgrow,oilgas_segment,seg_oilgas,segment,NYMEX WTI crude oil futures launch; treated exposure is oil/gas SIC proxy.,ok,-0.0047877553178731795,0.014764518387309751,-0.32427439841101097,0.7457316762518402,64980.0,3915.0,560.0,3845.0,64980.0
rsz,WTI_1983,oil,national,1983,7,1976,1990,pre_multiseg,rel_inv,l_margin,oilgas_segment,seg_oilgas,segment,NYMEX WTI crude oil futures launch; treated exposure is oil/gas SIC proxy.,ok,-0.0340942576713383,0.022981472315773646,-1.4835541084083304,0.13793415561614797,58657.0,2975.0,441.0,2923.0,58657.0
