status,beta,se,t,p,nobs,firms,treated_firms,control_firms,rows,shock,treatment,opp,dropped_k,span,sample,check
ok,-0.028920598982668768,0.01398424092623526,-2.068085006202376,0.038641426122158595,35788,2214,382,1832,35788,FERC636_1992,pre_energy_any,l_margin,-5,5,pre_multiseg,leave_one_relative_year
ok,-0.03428907771281631,0.012525900873560323,-2.7374540209873213,0.006195779582101046,35852,2356,406,1950,35852,FERC636_1992,pre_energy_any,l_margin,-4,5,pre_multiseg,leave_one_relative_year
ok,-0.034079475795466226,0.0138126810277258,-2.46726002917605,0.01362138173305949,35870,2367,403,1964,35870,FERC636_1992,pre_energy_any,l_margin,-3,5,pre_multiseg,leave_one_relative_year
ok,-0.021224229036775438,0.013619000813527436,-1.558427767747389,0.11914379219018878,35815,2383,407,1976,35815,FERC636_1992,pre_energy_any,l_margin,-2,5,pre_multiseg,leave_one_relative_year
ok,-0.03082428923422149,0.015242050415109924,-2.022319070908229,0.043153379277221626,35898,2378,405,1973,35898,FERC636_1992,pre_energy_any,l_margin,-1,5,pre_multiseg,leave_one_relative_year
ok,-0.03204450234489722,0.016155826709784226,-1.9834641037273912,0.04732585581897686,35954,2389,406,1983,35954,FERC636_1992,pre_energy_any,l_margin,0,5,pre_multiseg,leave_one_relative_year
ok,-0.01653499543547731,0.013769883365690414,-1.2008086776302376,0.22983599141139344,36236,2396,408,1988,36236,FERC636_1992,pre_energy_any,l_margin,1,5,pre_multiseg,leave_one_relative_year
ok,-0.028287445268896972,0.013522394016174008,-2.0918962452257066,0.03645703658345112,36543,2399,408,1991,36543,FERC636_1992,pre_energy_any,l_margin,2,5,pre_multiseg,leave_one_relative_year
ok,-0.02861527994892975,0.013164063167544354,-2.173742224169811,0.02973298038127381,36896,2399,408,1991,36896,FERC636_1992,pre_energy_any,l_margin,3,5,pre_multiseg,leave_one_relative_year
ok,-0.02360115206457813,0.014126092992469821,-1.6707487397371068,0.09478257941939727,37093,2399,408,1991,37093,FERC636_1992,pre_energy_any,l_margin,4,5,pre_multiseg,leave_one_relative_year
ok,-0.038889248613548,0.01292237793777992,-3.009449870665926,0.0026195191907427695,37385,2390,408,1982,37385,FERC636_1992,pre_energy_any,l_margin,5,5,pre_multiseg,leave_one_relative_year
ok,-0.0383855332964239,0.01446475211631994,-2.653729077950475,0.00796538230013022,35788,2214,126,2088,35788,FERC636_1992,pre_gas_any,l_margin,-5,5,pre_multiseg,leave_one_relative_year
ok,-0.035536254504013653,0.013080362526419252,-2.716763731298639,0.006596615137086648,35852,2356,129,2227,35852,FERC636_1992,pre_gas_any,l_margin,-4,5,pre_multiseg,leave_one_relative_year
ok,-0.032694304396930274,0.013641164316618618,-2.396738550909455,0.016548566226476824,35870,2367,128,2239,35870,FERC636_1992,pre_gas_any,l_margin,-3,5,pre_multiseg,leave_one_relative_year
ok,-0.028357298364004257,0.012970935337455858,-2.186218466614167,0.0288083226077529,35815,2383,129,2254,35815,FERC636_1992,pre_gas_any,l_margin,-2,5,pre_multiseg,leave_one_relative_year
ok,-0.0368117567837711,0.017474884592300923,-2.106552211508716,0.035165745879868426,35898,2378,129,2249,35898,FERC636_1992,pre_gas_any,l_margin,-1,5,pre_multiseg,leave_one_relative_year
ok,-0.057623977130462044,0.025466707426051564,-2.2627179935916923,0.02366109002599348,35954,2389,129,2260,35954,FERC636_1992,pre_gas_any,l_margin,0,5,pre_multiseg,leave_one_relative_year
ok,-0.0061150626253466105,0.011905180821361829,-0.5136471858011739,0.607502899210739,36236,2396,129,2267,36236,FERC636_1992,pre_gas_any,l_margin,1,5,pre_multiseg,leave_one_relative_year
ok,-0.03357452860276001,0.014635708353954476,-2.294014597092486,0.0217972366650816,36543,2399,129,2270,36543,FERC636_1992,pre_gas_any,l_margin,2,5,pre_multiseg,leave_one_relative_year
ok,-0.03248358309594132,0.013580666801253834,-2.391898981936754,0.01676811315734228,36896,2399,129,2270,36896,FERC636_1992,pre_gas_any,l_margin,3,5,pre_multiseg,leave_one_relative_year
ok,-0.038822848952968524,0.013703705615049272,-2.8330183122391115,0.004614393782558457,37093,2399,129,2270,37093,FERC636_1992,pre_gas_any,l_margin,4,5,pre_multiseg,leave_one_relative_year
ok,-0.035277919507713876,0.014156856945092373,-2.4919316232790885,0.012710733125583129,37385,2390,129,2261,37385,FERC636_1992,pre_gas_any,l_margin,5,5,pre_multiseg,leave_one_relative_year
ok,-0.033097133380106475,0.01319237344270179,-2.508808102185455,0.012118905577674033,47653,3663,445,3534,47653,GAS_SPIKE_2001,energy_segment,l_margin,-5,5,pre_multiseg,leave_one_relative_year
ok,-0.04310436128113604,0.012251490535988714,-3.5182952763598125,0.0004349471105937752,47757,3773,467,3639,47757,GAS_SPIKE_2001,energy_segment,l_margin,-4,5,pre_multiseg,leave_one_relative_year
ok,-0.029706422579261503,0.010899145898367405,-2.725573439998749,0.006422439512981715,48984,3802,470,3666,48984,GAS_SPIKE_2001,energy_segment,l_margin,-3,5,pre_multiseg,leave_one_relative_year
ok,-0.03316940522892413,0.019023449027993265,-1.7436062819163285,0.08123773412732649,46769,3676,466,3539,46769,GAS_SPIKE_2001,energy_segment,l_margin,-2,5,pre_multiseg,leave_one_relative_year
ok,-0.022317165145574053,0.017292094528360367,-1.2905993029920224,0.19685285281668063,45566,3727,472,3588,45566,GAS_SPIKE_2001,energy_segment,l_margin,-1,5,pre_multiseg,leave_one_relative_year
ok,-0.03330454529099014,0.014664869106092418,-2.2710427928166093,0.023151761867684195,45287,3767,473,3631,45287,GAS_SPIKE_2001,energy_segment,l_margin,0,5,pre_multiseg,leave_one_relative_year
ok,-0.04354924925902991,0.015033965064466352,-2.8967241224978686,0.0037736266536707586,45886,3819,476,3682,45886,GAS_SPIKE_2001,energy_segment,l_margin,1,5,pre_multiseg,leave_one_relative_year
ok,-0.037052336002759555,0.013692253373746188,-2.70608021860043,0.006812167499648414,46430,3831,476,3694,46430,GAS_SPIKE_2001,energy_segment,l_margin,2,5,pre_multiseg,leave_one_relative_year
ok,-0.026928472488462953,0.013128005328162247,-2.0512234581971027,0.04025390963465547,46706,3828,474,3693,46706,GAS_SPIKE_2001,energy_segment,l_margin,3,5,pre_multiseg,leave_one_relative_year
ok,-0.029418586607230363,0.0130789614922835,-2.2493060037363923,0.024500190429458835,47175,3832,476,3695,47175,GAS_SPIKE_2001,energy_segment,l_margin,4,5,pre_multiseg,leave_one_relative_year
ok,-0.030435654480625803,0.01331056168434083,-2.28657927459453,0.022227101400504434,47507,3822,472,3686,47507,GAS_SPIKE_2001,energy_segment,l_margin,5,5,pre_multiseg,leave_one_relative_year
ok,0.045025405982270485,0.019339017457017164,2.328215799088232,0.019909174637027682,33220,2224,154,2070,33220,SO2_ALLOWANCE_1995,pre_electric_any,l_margin,-5,5,pre_multiseg,leave_one_relative_year
ok,0.045183010788004,0.019916405213786036,2.268632833234812,0.0232999697186711,33303,2322,157,2165,33303,SO2_ALLOWANCE_1995,pre_electric_any,l_margin,-4,5,pre_multiseg,leave_one_relative_year
ok,0.04390170400578678,0.019685534636734565,2.2301504539207775,0.025747137869779113,33357,2338,157,2181,33357,SO2_ALLOWANCE_1995,pre_electric_any,l_margin,-3,5,pre_multiseg,leave_one_relative_year
ok,0.029946544174363227,0.019380976040832,1.5451514986279125,0.12232346767042257,33336,2325,157,2168,33336,SO2_ALLOWANCE_1995,pre_electric_any,l_margin,-2,5,pre_multiseg,leave_one_relative_year
ok,0.027647839489423412,0.018723700909548783,1.4766225770741437,0.13979058635172148,33364,2323,157,2166,33364,SO2_ALLOWANCE_1995,pre_electric_any,l_margin,-1,5,pre_multiseg,leave_one_relative_year
ok,0.049616014529925714,0.02101619794201128,2.3608463655903975,0.018241575848685576,33466,2321,156,2165,33466,SO2_ALLOWANCE_1995,pre_electric_any,l_margin,0,5,pre_multiseg,leave_one_relative_year
ok,0.035482872934914055,0.020379356217983306,1.7411184413962493,0.08167601779811462,33826,2346,155,2191,33826,SO2_ALLOWANCE_1995,pre_electric_any,l_margin,1,5,pre_multiseg,leave_one_relative_year
ok,0.036325520436409485,0.02372883025690893,1.5308601411497256,0.12581727965192413,34200,2344,157,2187,34200,SO2_ALLOWANCE_1995,pre_electric_any,l_margin,2,5,pre_multiseg,leave_one_relative_year
ok,0.03827175693559382,0.017906004791231524,2.1373699706779536,0.03257757779307102,35494,2342,156,2186,35494,SO2_ALLOWANCE_1995,pre_electric_any,l_margin,3,5,pre_multiseg,leave_one_relative_year
ok,0.03195856519756206,0.02085989845503419,1.5320575632931421,0.12552097824159358,35053,2341,156,2185,35053,SO2_ALLOWANCE_1995,pre_electric_any,l_margin,4,5,pre_multiseg,leave_one_relative_year
ok,0.033558214506574355,0.01855784067100352,1.8083038377955687,0.07057122903654212,34761,2340,157,2183,34761,SO2_ALLOWANCE_1995,pre_electric_any,l_margin,5,5,pre_multiseg,leave_one_relative_year
ok,0.027597863417433574,0.010730604002816578,2.5718835034998646,0.010119772279743922,37445,2414,433,1981,37445,NATGAS_1990,pre_energy_any,sgrow,-5,5,pre_multiseg,leave_one_relative_year
ok,0.02424073319808421,0.011161894110294583,2.1717401149440265,0.02988375857283332,37696,2586,454,2132,37696,NATGAS_1990,pre_energy_any,sgrow,-4,5,pre_multiseg,leave_one_relative_year
ok,0.017536746468739726,0.011834158731857848,1.4818752110811537,0.13838480959520139,37981,2599,454,2145,37981,NATGAS_1990,pre_energy_any,sgrow,-3,5,pre_multiseg,leave_one_relative_year
ok,0.01780545260654008,0.011267496507169955,1.5802492235262522,0.11406112454546591,38045,2597,456,2141,38045,NATGAS_1990,pre_energy_any,sgrow,-2,5,pre_multiseg,leave_one_relative_year
ok,0.017738463945664296,0.010726452333278444,1.6537120936650538,0.09819726011256091,38063,2593,453,2140,38063,NATGAS_1990,pre_energy_any,sgrow,-1,5,pre_multiseg,leave_one_relative_year
ok,0.01563918619225185,0.01012246001249892,1.5449985648687212,0.12235797435176576,38010,2607,457,2150,38010,NATGAS_1990,pre_energy_any,sgrow,0,5,pre_multiseg,leave_one_relative_year
ok,0.026338759334378153,0.011395244356652581,2.31138170538673,0.020818975651271554,38348,2615,458,2157,38348,NATGAS_1990,pre_energy_any,sgrow,1,5,pre_multiseg,leave_one_relative_year
ok,0.022012204689097897,0.01137127803173471,1.9357722700708508,0.052905544593176757,38552,2622,458,2164,38552,NATGAS_1990,pre_energy_any,sgrow,2,5,pre_multiseg,leave_one_relative_year
ok,0.023012519281277437,0.010701596186307546,2.1503819505656026,0.031533388363993,38778,2621,458,2163,38778,NATGAS_1990,pre_energy_any,sgrow,3,5,pre_multiseg,leave_one_relative_year
ok,0.01970538648426842,0.010938439541308704,1.8014805868653925,0.07163762030437248,39027,2623,458,2165,39027,NATGAS_1990,pre_energy_any,sgrow,4,5,pre_multiseg,leave_one_relative_year
