status,beta,se,t,p,nobs,firms,treated_firms,control_firms,rows,shock,treatment,opp,pseudo_year,span,sample,check
ok,-0.003254286984269412,0.014043727514733506,-0.23172530091140586,0.8167538107591026,27857,2326,394,1932,27857,FERC636_1992,pre_energy_any,l_margin,1988,3,pre_multiseg,pre_only_placebo
ok,-0.00747009801962107,0.012975459027916693,-0.5757097304649614,0.5648178934489025,28660,2395,427,1968,28660,FERC636_1992,pre_energy_any,l_margin,1987,3,pre_multiseg,pre_only_placebo
ok,-0.006289328243322246,0.014182206859685758,-0.4434661195924484,0.6574331978238446,29973,2475,466,2009,29973,FERC636_1992,pre_energy_any,l_margin,1986,3,pre_multiseg,pre_only_placebo
ok,0.02583226923013849,0.016618360271440154,1.5544415217988203,0.12009536648735475,27857,2326,131,2195,27857,FERC636_1992,pre_gas_any,l_margin,1988,3,pre_multiseg,pre_only_placebo
ok,0.011866439299609692,0.017000459037416343,0.6980069934284023,0.485180958994585,28660,2395,134,2261,28660,FERC636_1992,pre_gas_any,l_margin,1987,3,pre_multiseg,pre_only_placebo
ok,-0.015681582756564665,0.01984931512068,-0.7900314273426399,0.42951835323525867,29973,2475,140,2335,29973,FERC636_1992,pre_gas_any,l_margin,1986,3,pre_multiseg,pre_only_placebo
ok,0.03016991916464471,0.030134745693887816,1.0011672064902817,0.3167630750095576,23297,2156,363,2074,23297,GAS_SPIKE_2001,energy_segment,l_margin,1997,3,pre_multiseg,pre_only_placebo
ok,0.04657721355154295,0.021774526619753192,2.139068938898975,0.032445883568700706,23689,2141,377,2057,23689,GAS_SPIKE_2001,energy_segment,l_margin,1996,3,pre_multiseg,pre_only_placebo
ok,0.012962251509323746,0.020729800615142853,0.6252955226137095,0.5317854652073373,24277,2067,382,1975,24277,GAS_SPIKE_2001,energy_segment,l_margin,1995,3,pre_multiseg,pre_only_placebo
ok,-0.04058461990932634,0.015119513862187186,-2.6842542874890674,0.0072753401277259044,26780,2093,155,1938,26780,SO2_ALLOWANCE_1995,pre_electric_any,l_margin,1991,3,pre_multiseg,pre_only_placebo
ok,-0.01315007988188696,0.010608970440298949,-1.2395246038140912,0.21516628704978946,27057,2174,159,2015,27057,SO2_ALLOWANCE_1995,pre_electric_any,l_margin,1990,3,pre_multiseg,pre_only_placebo
ok,0.018381829019298402,0.010576966343808034,1.7379112707548219,0.08224233174371265,27466,2274,161,2113,27466,SO2_ALLOWANCE_1995,pre_electric_any,l_margin,1989,3,pre_multiseg,pre_only_placebo
ok,0.009687260231345102,0.01355517048564811,0.7146542525305559,0.4748306722049258,29973,2475,466,2009,29973,NATGAS_1990,pre_energy_any,sgrow,1986,3,pre_multiseg,pre_only_placebo
ok,-0.012990493201794724,0.013283414357213946,-0.9779483536730793,0.3281104594809272,31602,2517,477,2040,31602,NATGAS_1990,pre_energy_any,sgrow,1985,3,pre_multiseg,pre_only_placebo
ok,-0.037969701769639916,0.014389502291481834,-2.6387084834836068,0.0083276386825748,33449,2574,465,2109,33449,NATGAS_1990,pre_energy_any,sgrow,1984,3,pre_multiseg,pre_only_placebo
