status,beta,se,t,p,nobs,firms,t_std,t_p25,t_p75,shock,treatment,outcome,span,check
ok,-0.008980667447594114,0.0017744963103917624,-5.06096710091858,4.1920791171712324e-07,42154,6527,1.027747565422006,-0.3151262847187118,-0.3151262847187118,NATGAS_1990,pre_energy_share_z,hhi,3,baseline_span
ok,-0.011248056731386036,0.0018584411267295873,-6.0524148812719885,1.4360215239150875e-09,62041,6539,1.0077534392408858,-0.3249725675314382,-0.3249725675314382,NATGAS_1990,pre_energy_share_z,hhi,5,baseline_span
ok,-0.012779700248265018,0.001953776972513905,-6.541023068677848,6.15065776088386e-11,78646,6554,0.9851835068464578,-0.33575110234997213,-0.33575110234997213,NATGAS_1990,pre_energy_share_z,hhi,7,baseline_span
ok,-0.04999008956623409,0.013390234080033031,-3.733324545892537,0.00018921985393149932,49714,7996,0.24527019968904254,0.0,0.0,GAS_SPIKE_2001,pre_energy_any,multi_seg,3,baseline_span
ok,-0.08554106768807142,0.015609152107272066,-5.480186694331663,4.264688668875749e-08,72297,8034,0.249761849148578,0.0,0.0,GAS_SPIKE_2001,pre_energy_any,multi_seg,5,baseline_span
ok,-0.1118467028753666,0.0176997406912555,-6.319115337696677,2.6439250788712343e-10,91148,8053,0.25120579306417734,0.0,0.0,GAS_SPIKE_2001,pre_energy_any,multi_seg,7,baseline_span
ok,-0.006377950458726312,0.001575791078345735,-4.047459429343821,5.1881907484396805e-05,43770,6818,1.0106898716778518,-0.301690672091914,-0.301690672091914,FERC636_1992,pre_energy_share_z,hhi,3,baseline_span
ok,-0.008647890800133496,0.0017427372538895334,-4.962245904156048,6.987992124951603e-07,64771,6852,1.0143540860216729,-0.30335483928172946,-0.30335483928172946,FERC636_1992,pre_energy_share_z,hhi,5,baseline_span
ok,-0.008916270203673938,0.0018239101411266845,-4.888546865672937,1.0179132741150454e-06,82314,6874,0.9926323214804286,-0.3130390907929328,-0.3130390907929328,FERC636_1992,pre_energy_share_z,hhi,7,baseline_span
ok,-0.009457916767041547,0.003289005491007092,-2.8756159857141306,0.004034440687122665,49714,7996,1.0030420089591572,-0.24454333450485907,-0.24454333450485907,GAS_SPIKE_2001,pre_energy_share_z,multi_seg,3,baseline_span
