model,shock,family,design,treatment,outcome,opp,n_specs,n_p05,n_p10,share_p05,share_p10,median_beta,median_t,median_abs_t,min_p,max_p,modal_sign,sign_consistency,min_treated_firms,min_control_firms,median_nobs,robust_score,robust_candidate
rsz,FERC636_1992,gas,national,pre_energy_any,rel_inv,l_margin,6,6,6,1.0,1.0,-0.031735344447633165,-2.5252519937834013,2.5252519937834013,0.004680301169386114,0.04983003890459714,-1.0,1.0,341,1651,41970,20.2626259968917,True
rsz,FERC636_1992,gas,national,pre_gas_any,rel_inv,l_margin,6,4,5,0.6666666666666666,0.8333333333333334,-0.03210550118628039,-2.355313256345199,2.355313256345199,0.00024243435323345608,0.233551971028912,-1.0,1.0,112,1880,41970,15.177656628172599,True
rsz,GAS_SPIKE_2001,gas,national,energy_segment,rel_inv,l_margin,6,4,5,0.6666666666666666,0.8333333333333334,-0.025688462775098043,-2.2676578806588177,2.2676578806588177,0.007279445854241784,0.14238835930404514,-1.0,1.0,376,3244,54099,15.133828940329408,True
rsz,SO2_ALLOWANCE_1995,carbon,national,pre_electric_any,rel_inv,l_margin,6,4,4,0.6666666666666666,0.6666666666666666,0.03881924051860672,2.1317323202822904,2.1317323202822904,0.025547552270015483,0.4076522170806549,1.0,1.0,142,1925,41226,14.065866160141145,True
rsz,NATGAS_1990,gas,national,pre_energy_any,rel_inv,sgrow,6,4,4,0.6666666666666666,0.6666666666666666,0.022323751842333782,2.1038404837216733,2.1038404837216733,0.022406116679927646,0.16707931164816747,1.0,1.0,371,1803,43755,14.051920241860836,True
rsz,CA_CARBON_2013,carbon,regional,pre_electric_any,rel_inv,l_margin,6,6,6,1.0,1.0,5.670988418123033,40.834563156478595,40.834563156478595,0.0,0.0,1.0,1.0,4,2216,45314,21.5,False
rsz,CA_CARBON_2013,carbon,regional,pre_electric_any,rel_inv,sgrow,6,6,6,1.0,1.0,2.329414165362529,19.63977577002477,19.63977577002477,0.0,0.0,1.0,1.0,4,2216,45314,21.5,False
rsz,CA_CARBON_2013,carbon,regional,pre_energy_any,rel_inv,l_margin,6,6,6,1.0,1.0,3.4920082193840636,2.122782512768404,2.122782512768404,0.024427993393947744,0.04459021328528734,1.0,1.0,7,2213,45314,20.0613912563842,False
firm_did,GAS_SPIKE_2001,gas,national,pre_energy_any,multi_seg,,3,3,3,1.0,1.0,-0.08554106768807142,-5.480186694331663,5.480186694331663,2.6439250788712343e-10,0.00018921985393149932,-1.0,1.0,514,7482,72297,12.5,False
firm_did,GAS_SPIKE_2001,gas,national,pre_oilgas_any,multi_seg,,3,3,3,1.0,1.0,-0.11927824928717605,-6.837266907709759,6.837266907709759,8.881784197001252e-16,6.925333127183464e-06,-1.0,1.0,340,7656,72297,12.5,False
firm_did,NATGAS_1990,gas,national,pre_energy_share_z,hhi,,3,3,3,1.0,1.0,-0.011248056731386036,-6.0524148812719885,6.0524148812719885,6.15065776088386e-11,4.1920791171712324e-07,-1.0,1.0,6527,0,62041,12.5,False
firm_did,FERC636_1992,gas,national,pre_energy_share_z,hhi,,3,3,3,1.0,1.0,-0.008647890800133496,-4.888546865672937,4.888546865672937,6.987992124951603e-07,5.1881907484396805e-05,-1.0,1.0,6818,0,64771,12.444273432836468,False
firm_did,SO2_ALLOWANCE_1995,carbon,national,pre_carbon_any,multi_seg,,3,3,3,1.0,1.0,-0.03992718613648788,-4.637130596728978,4.637130596728978,3.500937317824082e-10,0.020960721142878835,-1.0,1.0,1674,6224,71654,12.31856529836449,False
firm_did,GAS_SPIKE_2001,gas,national,pre_oilgas_any,log_nseg,,3,3,3,1.0,1.0,-0.06572263969083807,-4.281369432284686,4.281369432284686,5.272730692063021e-07,0.009167539235103384,-1.0,1.0,340,7656,72297,12.140684716142342,False
firm_did,GAS_SPIKE_2001,gas,national,pre_energy_share_z,multi_seg,,3,3,3,1.0,1.0,-0.01686531190226445,-4.252274914848421,4.252274914848421,4.952753545728328e-06,0.004034440687122665,-1.0,1.0,7996,0,72297,12.12613745742421,False
firm_did,EU_ETS_2005,carbon,national,pre_energy_any,log_nseg,,3,3,3,1.0,1.0,-0.04529324357669169,-4.236729997700161,4.236729997700161,5.142894994314418e-07,0.0010601571532991017,-1.0,1.0,587,6949,68070,12.11836499885008,False
firm_did,EU_ETS_2005,carbon,national,pre_carbon_any,multi_seg,,3,3,3,1.0,1.0,-0.036000106260293596,-4.187369139094925,4.187369139094925,5.307152168843032e-07,0.008784659357559121,-1.0,1.0,1554,5974,68070,12.093684569547463,False
firm_did,OIL_COLLAPSE_1986,oil,national,pre_oilgas_share_z,log_nseg,,3,3,3,1.0,1.0,0.012700716957277921,4.01440490871417,4.01440490871417,2.526485826770397e-05,0.00012128995320126457,1.0,1.0,6270,0,56539,12.007202454357085,False
firm_did,NATGAS_1990,gas,national,pre_energy_share_z,log_nseg,,3,3,3,1.0,1.0,0.00928338299487962,4.008778103814341,4.008778103814341,6.750040917324895e-07,0.019103805421680775,1.0,1.0,6565,0,62601,12.00438905190717,False
firm_did,OIL_COLLAPSE_1986,oil,national,pre_oilgas_share_z,n_op_seg,,3,3,3,1.0,1.0,0.03739594963962219,3.911761037445072,3.911761037445072,8.268142616141283e-05,0.0003471334493723166,1.0,1.0,6270,0,56539,11.955880518722536,False
firm_did,EU_ETS_2005,carbon,national,pre_carbon_any,log_nseg,,3,3,3,1.0,1.0,-0.02697691232123417,-3.865117607653289,3.865117607653289,5.460769767484663e-06,0.01606496970155269,-1.0,1.0,1554,5974,68070,11.932558803826645,False
firm_did,NATGAS_1990,gas,national,pre_energy_share_z,n_op_seg,,3,3,3,1.0,1.0,0.02818251320853061,3.737255809848775,3.737255809848775,5.9417976527864624e-06,0.01939971582375022,1.0,1.0,6565,0,62601,11.868627904924388,False
firm_did,EU_ETS_2005,carbon,national,pre_electric_any,n_op_seg,,3,3,3,1.0,1.0,-0.25077316262616134,-3.7303957734208697,3.7303957734208697,0.00010969612424305275,0.002362231765284273,-1.0,1.0,302,7234,68070,11.865197886710435,False
firm_did,FERC636_1992,gas,national,pre_energy_share_z,n_op_seg,,3,3,3,1.0,1.0,0.025242192780714885,3.663655964751335,3.663655964751335,1.4025697796515857e-06,0.008806618897388763,1.0,1.0,6866,0,65368,11.831827982375668,False
firm_did,EU_ETS_2005,carbon,national,pre_electric_any,log_nseg,,3,3,3,1.0,1.0,-0.05577296804033176,-3.6290370751020173,3.6290370751020173,0.00014240866866988,0.004448787651849084,-1.0,1.0,302,7234,68070,11.81451853755101,False
firm_did,OIL_COLLAPSE_1986,oil,national,pre_oilgas_share_z,hhi,,3,3,3,1.0,1.0,-0.009004600977814648,-3.626242193563074,3.626242193563074,4.362738632468499e-05,0.0015247823318604858,-1.0,1.0,6256,0,56237,11.813121096781536,False
firm_did,SO2_ALLOWANCE_1995,carbon,national,pre_electric_any,n_op_seg,,3,3,3,1.0,1.0,0.2616702318961095,3.5700639473489635,3.5700639473489635,0.00013786012544914072,0.0033880253139380034,1.0,1.0,252,7724,71654,11.785031973674482,False
firm_did,EU_ETS_2005,carbon,national,pre_energy_any,multi_seg,,3,3,3,1.0,1.0,-0.04332386209866979,-3.4501844656818967,3.4501844656818967,3.05989185434008e-06,0.023834791660132026,-1.0,1.0,587,6949,68070,11.725092232840948,False
firm_did,FERC636_1992,gas,national,pre_energy_share_z,log_nseg,,3,3,3,1.0,1.0,0.007385293917372066,3.4434805874418326,3.4434805874418326,6.742939952619764e-06,0.024371969850842667,1.0,1.0,6866,0,65368,11.721740293720917,False
firm_did,EU_ETS_2005,carbon,national,pre_carbon_any,n_op_seg,,3,3,3,1.0,1.0,-0.09660148376561078,-3.4006429556933133,3.4006429556933133,9.831351954669998e-05,0.040449460343804367,-1.0,1.0,1554,5974,68070,11.700321477846657,False
firm_did,EU_ETS_2005,carbon,national,pre_energy_any,n_op_seg,,3,3,3,1.0,1.0,-0.15370504632824608,-3.37925512140619,3.37925512140619,8.306475658526047e-05,0.008432160188767357,-1.0,1.0,587,6949,68070,11.689627560703094,False
firm_did,NATGAS_1990,gas,national,pre_energy_share_z,multi_seg,,3,3,3,1.0,1.0,0.011397423484971358,3.1703046391892555,3.1703046391892555,0.00013725723649837818,0.046896350977811085,1.0,1.0,6565,0,62601,11.585152319594627,False
firm_did,SO2_ALLOWANCE_1995,carbon,national,pre_electric_any,log_nseg,,3,3,3,1.0,1.0,0.06094569109921553,3.1427046858659144,3.1427046858659144,0.0004535946775898747,0.005735729362757347,1.0,1.0,252,7724,71654,11.571352342932958,False
firm_did,NATGAS_1990,gas,national,pre_energy_any,hhi,,3,3,3,1.0,1.0,-0.018989986447186556,-2.8761297663741665,2.8761297663741665,0.0037793276711584056,0.009698890554781014,-1.0,1.0,730,5760,62041,11.438064883187083,False
firm_did,GAS_SPIKE_2001,gas,national,pre_energy_any,log_nseg,,3,3,3,1.0,1.0,-0.03619083179642465,-2.6431467150504995,2.6431467150504995,0.0021256250726278125,0.043205065057818626,-1.0,1.0,514,7482,72297,11.32157335752525,False
firm_did,OIL_COLLAPSE_1986,oil,national,pre_oilgas_share_z,multi_seg,,3,3,3,1.0,1.0,0.011819542725833012,2.4435338131490587,2.4435338131490587,0.005216689339719638,0.015240253289722672,1.0,1.0,6270,0,56539,11.22176690657453,False
firm_did,WTI_1983,oil,national,pre_oilgas_share_z,n_op_seg,,3,3,3,1.0,1.0,0.02428831518517409,2.3991069134395966,2.3991069134395966,0.0022744512335493017,0.046266223042237486,1.0,1.0,5685,0,52538,11.199553456719798,False
rsz,FERC636_1992,gas,national,pre_oilgas_any,rel_inv,l_margin,6,2,4,0.3333333333333333,0.6666666666666666,-0.029177801032653397,-1.9249640580510994,1.9249640580510994,0.02625649538606689,0.22965573821934337,-1.0,1.0,245,1747,41970,9.96248202902555,False
rsz,SO2_ALLOWANCE_1995,carbon,national,pre_carbon_share_z,rel_inv,l_margin,6,2,4,0.3333333333333333,0.6666666666666666,0.009681049966998914,1.9105138339460108,1.9105138339460108,0.0039594242568254945,0.2198896725630788,1.0,1.0,2067,0,41226,9.955256916973006,False
rsz,FERC636_1992,gas,national,gas_segment,rel_inv,l_margin,6,2,4,0.3333333333333333,0.6666666666666666,-0.03253963117047745,-1.725028200748488,1.725028200748488,0.004002490576322737,0.13615800377201204,-1.0,1.0,116,1990,41970,9.862514100374245,False
firm_did,SO2_ALLOWANCE_1995,carbon,national,pre_carbon_any,log_nseg,,3,2,3,0.6666666666666666,1.0,-0.024016271822721785,-3.6584876811590785,3.6584876811590785,1.402441629494433e-06,0.08786631631785102,-1.0,1.0,1674,6224,71654,9.82924384057954,False
